Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Fut11,668,1250,1137,770,1574,717,1199,1697,2121
Fut7,1039,1124,939,3575,3135,2555,1797,2231,2158
Fut8,1034,2984,2743,4504,8544,4854,5395,9865,4475
Fuz,89,138,378,234,248,150,222,0,507
Fxn,917,589,873,911,598,323,474,581,474
Fxr1,277,491,917,680,1060,647,964,590,1499
Fxr2,540,441,1069,1264,1001,1472,529,307,1348
Fxyd5,3752,4587,4469,4375,3220,3382,5243,3704,4529
Fyb,566,656,541,251,1284,741,1637,1456,375
Fyco1,477,395,430,206,793,492,879,235,495
Fyn,1755,1286,1602,1063,788,1412,3472,2123,4663
Fyttd1,713,1033,1492,577,1468,1708,1138,477,1169
Fzr1,2214,2826,2984,1034,1871,1993,2974,1098,3886
G2e3,944,696,1376,232,992,10,1962,0,414
G3bp1,9407,9224,12340,11660,11285,9315,10749,7840,8764
G3bp2,3679,3241,3298,3291,3489,2917,4968,1564,1851
G6pc3,705,1100,1409,1464,1291,921,621,373,381
G6pdx,1936,1641,2341,1883,3619,3142,2858,4140,4369
Gaa,1400,2111,2296,3760,1810,1798,5303,3890,3541
Gabarap,1249,1604,1431,1975,1962,2065,2592,2197,2655
Gabarapl1,1469,1601,1324,488,582,912,558,656,562
Gabarapl2,512,764,481,764,863,1307,1471,1431,1348
Gabpa,1423,1375,1449,1546,1165,1324,1580,2257,1064
Gabpb1,2013,2348,2513,1012,1702,1020,1522,2963,1812
Gabpb2,763,794,612,142,139,357,262,1307,339
Gadd45gip1,122,322,357,291,352,400,305,212,224
Gak,2874,2071,2457,2656,4611,2334,4002,6469,6433
Galk1,995,1898,2807,1905,1876,635,556,518,1488
Galk2,885,802,902,847,611,1219,2243,1847,3189
Galns,670,479,364,742,833,1424,841,224,1186
Galnt1,3819,4893,5782,6218,7047,4985,15592,17134,15262
Galnt10,1119,895,873,1620,1340,858,3149,0,1353
Galnt11,654,454,624,439,710,1338,1199,2480,1264
Galnt12,335,437,505,93,309,499,3717,1380,3440
Galnt4,149,287,387,159,506,370,104,1,595
Galnt6,991,828,692,2340,3138,762,2184,3235,1088
Galnt7,105,1294,1203,1173,1399,18,1816,1032,2325
Galt,281,128,335,127,304,62,434,305,270
Ganab,3128,4291,6060,5280,5005,6229,5261,3670,4196
Ganc,295,132,492,201,692,60,887,913,718
Gapdh,13587,19456,23290,16818,17737,17185,26599,14089,18839
Gapt,751,462,735,2191,2445,1438,283,0,176
Gapvd1,2537,1459,2712,3281,2225,2349,6262,2442,2755
Gar1,589,818,834,734,644,842,298,394,662
Gars,3438,3406,4080,3423,4275,3917,2946,2569,3891
Gart,4586,3810,6106,5841,4751,3622,3172,1864,3271
Gas5,1651,2678,2000,1272,1569,1562,793,1437,1333
Gata3,8,173,126,1047,3603,3707,12333,10826,18294
Gatad1,270,490,301,430,510,848,908,1101,605
Gatad2a,2530,2770,3407,3930,3936,4457,3722,1268,4049
Gatad2b,196,112,88,113,169,147,161,6,169
Gatb,549,286,441,534,586,914,149,0,192
Gatc,383,599,781,624,900,850,1100,451,227
Gatm,631,666,972,582,356,512,36,620,0
Gatsl2,469,473,169,240,341,321,1279,623,774
Gba,729,1045,980,1596,1790,632,693,1240,1846
Gba2,1332,760,1160,1253,1575,1435,1,1621,3041
Gbas,312,570,463,405,429,874,401,76,521
Gbe1,1066,1381,1242,1174,864,1081,1775,1143,942
Gbf1,1094,875,1692,1847,957,2008,2155,2155,1428
Gbp2,504,459,179,61,428,0,2518,2002,2276
Gbp3,1591,1811,1851,1412,1528,443,477,1841,1
Gbp4,147,179,2125,323,828,1166,1308,644,1041
Gbp6,522,1613,3703,0,412,758,1231,986,493
Gbp7,1515,2250,1622,961,1842,556,1132,2674,4075
Gbp8,236,1014,3700,0,941,856,992,687,1008
Gbp9,0,708,779,0,456,1182,247,644,875
Gcat,292,370,491,168,211,123,0,0,337
Gcc1,538,236,689,393,762,324,594,1398,454
Gcdh,308,533,343,326,440,627,288,908,791
Gcfc2,231,148,247,312,187,388,465,0,26
Gclc,1093,1274,1639,1001,1481,2883,16748,6960,19046
Gclm,587,1456,951,1182,849,724,660,838,939
Gcn1l1,2563,1764,3267,3626,3614,542,1653,1015,3519
Gcnt1,227,187,640,818,2018,972,3938,3045,2540
Gcsh,1018,1051,1028,967,576,605,655,331,278
Gdap2,552,248,430,504,1030,523,683,0,1225
Gde1,439,668,1125,1253,1112,741,1757,1186,1112
Gdi1,318,813,733,648,1775,779,1060,1046,2007
Gdi2,6014,8828,8549,7560,6962,7311,7769,5069,6743
Gdpgp1,314,329,104,290,346,592,265,266,372
Gem,129,342,243,77,63,355,333,1260,1702
Gemin2,479,514,538,372,615,212,465,1565,287
Gemin5,1522,1174,2003,1341,2581,2585,3525,416,991
Gemin6,901,866,807,535,553,489,522,125,287
Gemin7,801,734,1107,432,858,1569,1415,689,897
Gemin8,95,422,185,275,191,105,544,0,550
Gen1,10,175,176,110,285,306,290,0,637
Get4,880,1537,1475,1307,1145,1220,731,855,1444
Gfer,452,399,398,158,366,334,737,47,222
Gfi1,368,422,443,164,246,0,155,165,1278
Gfm1,1035,914,1455,1717,1697,1285,697,1056,633
Gfm2,274,614,700,605,494,283,1406,2021,637
Gfod1,8,37,173,280,224,773,337,762,809
Gfpt1,312,303,589,296,582,669,445,1057,921
Gga1,300,494,625,925,1066,593,809,1229,1675
Gga2,976,1473,1200,2121,1105,1068,297,2,634
Gga3,676,575,875,1310,2209,1076,1749,681,428
Ggh,539,406,498,290,416,0,188,814,667
Ggnbp2,1484,1665,1832,2356,2338,2882,2845,2406,2954
Ggps1,714,517,553,682,801,881,440,1500,1461
Ggta1,973,2677,1706,446,730,446,1395,898,674
Ghitm,5917,6254,8770,4390,7469,9898,7465,4962,7716
Gid4,2126,1149,2295,1317,2397,648,1600,752,4610
Gid8,286,356,405,556,607,322,423,609,271
Gigyf2,250,908,1027,628,981,760,1035,832,1894
Gimap1,1548,1587,1383,861,1650,2749,3697,2231,4092
Gimap5,198,237,381,362,863,1173,1484,862,1592
Gimap6,3434,4816,3957,1121,3281,6684,10142,7593,10258
Gimap7,496,464,725,47,888,790,1095,1270,1129
Gimap9,836,1095,776,239,952,2128,1619,1570,2035
Gin1,107,219,228,359,231,51,158,545,156
Ginm1,561,758,378,701,695,447,1459,1473,741
Gins1,725,701,474,415,574,207,296,0,458
